,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Intro / Set3,0.156,0.628,11,-8.791,1,0.0627,0.0222,0.00476,0.103,0.15,157.475,audio_features,3nUjTww3yR5uFini7EA6mY,spotify:track:3nUjTww3yR5uFini7EA6mY,https://api.spotify.com/v1/tracks/3nUjTww3yR5uFini7EA6mY,https://api.spotify.com/v1/audio-analysis/3nUjTww3yR5uFini7EA6mY,187973,5
Undo,0.311,0.714,6,-8.404,0,0.0387,0.00604,0.434,0.075,0.3,127.656,audio_features,3IruBonU0zvsPvnJbcnveg,spotify:track:3IruBonU0zvsPvnJbcnveg,https://api.spotify.com/v1/tracks/3IruBonU0zvsPvnJbcnveg,https://api.spotify.com/v1/audio-analysis/3IruBonU0zvsPvnJbcnveg,244653,4
Sex - EP Version,0.35,0.964,2,-4.049,1,0.0855,2.2e-05,0.000271,0.276,0.12,148.287,audio_features,03tg6cOOCCZNPRZeOmYbYx,spotify:track:03tg6cOOCCZNPRZeOmYbYx,https://api.spotify.com/v1/tracks/03tg6cOOCCZNPRZeOmYbYx,https://api.spotify.com/v1/audio-analysis/03tg6cOOCCZNPRZeOmYbYx,206133,4
You,0.0,2.02e-05,0,-6.18,1,0.0,0.00657,0.00294,0.166,0.0,0.0,audio_features,2r17C5IflkZeotkFQFSdH5,spotify:track:2r17C5IflkZeotkFQFSdH5,https://api.spotify.com/v1/tracks/2r17C5IflkZeotkFQFSdH5,https://api.spotify.com/v1/audio-analysis/2r17C5IflkZeotkFQFSdH5,1570090,0
Anobrain,0.153,0.388,7,-12.293,1,0.0378,0.0729,0.0614,0.16,0.0619,84.429,audio_features,2WszHMkeJt7xG8nhrgL8r6,spotify:track:2WszHMkeJt7xG8nhrgL8r6,https://api.spotify.com/v1/tracks/2WszHMkeJt7xG8nhrgL8r6,https://api.spotify.com/v1/audio-analysis/2WszHMkeJt7xG8nhrgL8r6,113573,4
HNSCC,0.151,0.448,0,-17.233,1,0.0566,0.141,0.943,0.155,0.0849,82.518,audio_features,2lmiOKeT9i4FQ9inBHL6bS,spotify:track:2lmiOKeT9i4FQ9inBHL6bS,https://api.spotify.com/v1/tracks/2lmiOKeT9i4FQ9inBHL6bS,https://api.spotify.com/v1/audio-analysis/2lmiOKeT9i4FQ9inBHL6bS,151213,1
Head.Cars.Bending,0.445,0.58,0,-8.639,1,0.136,0.246,3.36e-05,0.136,0.328,130.091,audio_features,5CnQpEh55BqUPtT0GCLRqS,spotify:track:5CnQpEh55BqUPtT0GCLRqS,https://api.spotify.com/v1/tracks/5CnQpEh55BqUPtT0GCLRqS,https://api.spotify.com/v1/audio-analysis/5CnQpEh55BqUPtT0GCLRqS,207808,4
Me,0.268,0.292,2,-14.759,1,0.0353,0.897,0.885,0.083,0.0593,114.904,audio_features,0qHWQzbt8js1IyLpr1yOiS,spotify:track:0qHWQzbt8js1IyLpr1yOiS,https://api.spotify.com/v1/tracks/0qHWQzbt8js1IyLpr1yOiS,https://api.spotify.com/v1/audio-analysis/0qHWQzbt8js1IyLpr1yOiS,275013,3
The City - Single Version,0.469,0.946,5,-5.571,1,0.116,0.000228,0.000704,0.171,0.269,95.048,audio_features,4yCIManeOeRBrqDANPtK1v,spotify:track:4yCIManeOeRBrqDANPtK1v,https://api.spotify.com/v1/tracks/4yCIManeOeRBrqDANPtK1v,https://api.spotify.com/v1/audio-analysis/4yCIManeOeRBrqDANPtK1v,224075,4
Haunt // Bed,0.313,0.495,7,-12.37,1,0.0429,0.41,0.184,0.392,0.12,89.971,audio_features,078y8ygOFesjpWf3Pp5yNv,spotify:track:078y8ygOFesjpWf3Pp5yNv,https://api.spotify.com/v1/tracks/078y8ygOFesjpWf3Pp5yNv,https://api.spotify.com/v1/audio-analysis/078y8ygOFesjpWf3Pp5yNv,305023,4
So Far (It's Alright),0.619,0.562,0,-7.268,1,0.0288,0.00862,5.31e-06,0.146,0.361,95.971,audio_features,6fxoHgCalEg4uTNbn8owXK,spotify:track:6fxoHgCalEg4uTNbn8owXK,https://api.spotify.com/v1/tracks/6fxoHgCalEg4uTNbn8owXK,https://api.spotify.com/v1/audio-analysis/6fxoHgCalEg4uTNbn8owXK,240107,4
Fallingforyou,0.264,0.285,1,-15.208,1,0.0385,0.892,0.000471,0.344,0.0776,84.825,audio_features,2TgxCUZdHFkPEVmFge1OSd,spotify:track:2TgxCUZdHFkPEVmFge1OSd,https://api.spotify.com/v1/tracks/2TgxCUZdHFkPEVmFge1OSd,https://api.spotify.com/v1/audio-analysis/2TgxCUZdHFkPEVmFge1OSd,240671,4
Heads. Cars. Bending,0.594,0.562,0,-9.271,1,0.111,0.233,1.46e-05,0.138,0.365,129.95,audio_features,3mDFlLYgmRBEexQuoGWo7f,spotify:track:3mDFlLYgmRBEexQuoGWo7f,https://api.spotify.com/v1/tracks/3mDFlLYgmRBEexQuoGWo7f,https://api.spotify.com/v1/audio-analysis/3mDFlLYgmRBEexQuoGWo7f,207800,4
Haunt / Bed,0.302,0.483,7,-13.031,1,0.0426,0.395,0.126,0.305,0.117,90.124,audio_features,2jJh2pYocRhHxPKsOEP1Ak,spotify:track:2jJh2pYocRhHxPKsOEP1Ak,https://api.spotify.com/v1/tracks/2jJh2pYocRhHxPKsOEP1Ak,https://api.spotify.com/v1/audio-analysis/2jJh2pYocRhHxPKsOEP1Ak,305013,4
Falling for You,0.256,0.276,1,-15.749,1,0.0468,0.888,0.000729,0.331,0.0888,170.196,audio_features,5nx2GwPXflORk1ydnrstmZ,spotify:track:5nx2GwPXflORk1ydnrstmZ,https://api.spotify.com/v1/tracks/5nx2GwPXflORk1ydnrstmZ,https://api.spotify.com/v1/audio-analysis/5nx2GwPXflORk1ydnrstmZ,240667,4
Intro / Set 3,0.239,0.645,11,-8.242,1,0.069,0.0214,0.00242,0.102,0.146,77.911,audio_features,3EJ1eFte3FXprQOS3TEIWH,spotify:track:3EJ1eFte3FXprQOS3TEIWH,https://api.spotify.com/v1/tracks/3EJ1eFte3FXprQOS3TEIWH,https://api.spotify.com/v1/audio-analysis/3EJ1eFte3FXprQOS3TEIWH,187973,5
Frail State Of Mind,0.566,0.676,9,-6.498,1,0.0383,0.0147,0.00672,0.0733,0.0492,127.973,audio_features,2i1CnSeLjppv41BTuc7qhY,spotify:track:2i1CnSeLjppv41BTuc7qhY,https://api.spotify.com/v1/tracks/2i1CnSeLjppv41BTuc7qhY,https://api.spotify.com/v1/audio-analysis/2i1CnSeLjppv41BTuc7qhY,234812,4
